Man	åvteste	eah
åvteste	eah	gånkaladtjh
eah	gånkaladtjh	kråvnah
gånkaladtjh	kråvnah	guedtieh
kråvnah	guedtieh	.
guedtieh	.	Ikth
.	Ikth	lij
Ikth	lij	aerpieprïnse
lij	aerpieprïnse	,
aerpieprïnse	,	gie
,	gie	lij
gie	lij	gelmieminie
lij	gelmieminie	jïh
gelmieminie	jïh	bïlleminie
jïh	bïlleminie	dejstie
bïlleminie	dejstie	stoerre
dejstie	stoerre	baarojste
stoerre	baarojste	mah
baarojste	mah	dennie
mah	dennie	stoerresaelhtesne
dennie	stoerresaelhtesne	.
stoerresaelhtesne	.	Jaepie
.	Jaepie	lij
Jaepie	lij	1905
lij	1905	,
1905	,	jïh
,	jïh	dïhte
jïh	dïhte	aerpieprïnsetje
dïhte	aerpieprïnsetje	lij
aerpieprïnsetje	lij	voestes
lij	voestes	aejkien
voestes	aejkien	Danmarhkeste
aejkien	Danmarhkeste	Nöörjese
Danmarhkeste	Nöörjese	gånka
Nöörjese	gånka	Haakon
gånka	Haakon	gon
Haakon	gon	trööhnege
gon	trööhnege	Maudine
trööhnege	Maudine	ektine
Maudine	ektine	fealedeminie
ektine	fealedeminie	.
fealedeminie	.	Dan
.	Dan	prïnsen
Dan	prïnsen	rïektes
prïnsen	rïektes	nomme
rïektes	nomme	lij
nomme	lij	Alexander
lij	Alexander	Edvard
Alexander	Edvard	Christian
Edvard	Christian	Fredrik
Christian	Fredrik	,
Fredrik	,	mohte
,	mohte	dïhte
mohte	dïhte	jïjtjehke
dïhte	jïjtjehke	gånka
jïjtjehke	gånka	tuhtjie
gånka	tuhtjie	ååpsen
tuhtjie	ååpsen	guhkies
ååpsen	guhkies	jïh
guhkies	jïh	ååpsen
jïh	ååpsen	danske
ååpsen	danske	nomme
danske	nomme	dïhte
nomme	dïhte	,
dïhte	,	daelie
,	daelie	gosse
daelie	gosse	lij
gosse	lij	Nöörjen
lij	Nöörjen	aerpieprïnsine
Nöörjen	aerpieprïnsine	sjïdteme
aerpieprïnsine	sjïdteme	.
sjïdteme	.	Dannasinie
.	Dannasinie	sïjhtin
Dannasinie	sïjhtin	dam
sïjhtin	dam	barre
dam	barre	Åvline
barre	Åvline	gåhtjodh
Åvline	gåhtjodh	.
gåhtjodh	.	Gånka
.	Gånka	Haakon
Gånka	Haakon	sïllesti
Haakon	sïllesti	dan
sïllesti	dan	prådtjose
dan	prådtjose	Kristianese
prådtjose	Kristianese	,
Kristianese	,	mij
,	mij	dejbeeli
mij	dejbeeli	Oslon
dejbeeli	Oslon	nomme
Oslon	nomme	lij
nomme	lij	.
lij	.	Dan
.	Dan	guhkiem
Dan	guhkiem	mænngan
guhkiem	mænngan	,
mænngan	,	raaktan
,	raaktan	gellie
raaktan	gellie	tjuetie
gellie	tjuetie	jaepiej
tjuetie	jaepiej	dej
jaepiej	dej	beeli
dej	beeli	åvteli
beeli	åvteli	,
åvteli	,	akte
,	akte	gånka
akte	gånka	dam
gånka	dam	Nöörjem
dam	Nöörjem	fealadamme
Nöörjem	fealadamme	.
fealadamme	.	Jïjnjh
.	Jïjnjh	almetjh
Jïjnjh	almetjh	dennie
almetjh	dennie	prådtjosne
dennie	prådtjosne	.
prådtjosne	.	Tjåarvoejin
.	Tjåarvoejin	”
Tjåarvoejin	”	Jielieh
”	Jielieh	gånka
Jielieh	gånka	!
gånka	!	”
!	”	jïh
”	jïh	daaroen
jïh	daaroen	saevegigujmie
daaroen	saevegigujmie	haejviehtin
saevegigujmie	haejviehtin	,
haejviehtin	,	barre
,	barre	goh
barre	goh	suehpeden
goh	suehpeden	17:n
suehpeden	17:n	biejjien
17:n	biejjien	lij
biejjien	lij	,
lij	,	jïlhts
,	jïlhts	barre
jïlhts	barre	rïhkeden
barre	rïhkeden	25:n
rïhkeden	25:n	biejjien
25:n	biejjien	.
biejjien	.	Åvletje
.	Åvletje	strerkiesti
Åvletje	strerkiesti	dehtie
strerkiesti	dehtie	tjåarvoemistie
dehtie	tjåarvoemistie	.
tjåarvoemistie	.	Barre
.	Barre	göökten
Barre	göökten	jaepien
göökten	jaepien	båeries
jaepien	båeries	,
båeries	,	jïh
,	jïh	idtji
jïh	idtji	man
idtji	man	jïjnjem
man	jïjnjem	guarkah
jïjnjem	guarkah	dehtie
guarkah	dehtie	stadtjoste
dehtie	stadtjoste	.
stadtjoste	.	Mohte
.	Mohte	guarkeme
Mohte	guarkeme	lea
guarkeme	lea	,
lea	,	sijjieh
,	sijjieh	edtjieh
sijjieh	edtjieh	kråvnah
edtjieh	kråvnah	åadtjodh
kråvnah	åadtjodh	,
åadtjodh	,	seammalaakan
,	seammalaakan	guktie
seammalaakan	guktie	maadter-aahka
guktie	maadter-aahka	gon
maadter-aahka	gon	maadter-aajjah
gon	maadter-aajjah	utnigan
maadter-aajjah	utnigan	,
utnigan	,	dannasinie
,	dannasinie	gånka
dannasinie	gånka	gon
gånka	gon	trööhneginie
gon	trööhneginie	likan
trööhneginie	likan	Danmarkeste
likan	Danmarkeste	.
Danmarkeste	.	Dej
.	Dej	beeli
