aahkebe	aahka+N+Sg+Nom+PxSg3

aahkebem	aahka+N+Sg+Acc+PxSg3

aahkeben	aahka+N+Sg+Gen+PxSg3

aahkedh	aahka+N+Sg+Nom+PxSg2

aahkeme	aahka+N+Sg+Acc+PxSg1
aahkeme	aahka+N+Sg+Nom+PxSg1

aahtjedh	aehtjie+N+Err/Orth+Sg+Nom+PxSg2
aahtjedh	aehtjie+N+Sg+Nom+PxSg2

aahtjemdh	aehtjie+N+Err/Orth+Sg+Acc+PxSg2
aahtjemdh	aehtjie+N+Sg+Acc+PxSg2

aahtjeme	aehtjie+N+Err/Orth+Sg+Acc+PxSg1
aahtjeme	aehtjie+N+Err/Orth+Sg+Nom+PxSg1
aahtjeme	aehtjie+N+Sg+Acc+PxSg1
aahtjeme	aehtjie+N+Sg+Nom+PxSg1

aajhtese	aajhtoe+N+Sg+Nom+PxSg3

aajjebe	aajja+N+Sg+Nom+PxSg3

aavoedalledh	aavoe+N+Cmp/SgNom+Cmp#dalle+N+Sg+Gen+PxSg2
aavoedalledh	aavoe+N+Cmp/SgNom+Cmp#dalle+N+Sg+Nom+PxSg2

aehpebe	aehpie+N+Sg+Nom+PxSg3
aehpebe	aehpie+N+Sg+Nom+PxSg3

aehtjebe	aehtjie+N+Sg+Nom+PxSg3
aehtjebe	aehtjie+N+Sg+Nom+PxSg3

aehtjebem	aehtjie+N+Sg+Acc+PxSg3

aehtjeben	aehtjie+N+Sg+Gen+PxSg3

aehtjemse	aehtjie+N+Sg+Acc+PxSg3

aehtjese	aehtjie+N+Sg+Nom+PxSg3

aehtjiebasse	aehtjie+N+Sg+Ill+PxSg3

aehtjiebinie	aehtjie+N+Sg+Com+PxSg3
aehtjiebinie	aehtjie+N+Sg+Ine+PxSg3

aehtjiebistie	aehtjie+N+Sg+Ela+PxSg3

alkeme	elkie+v1+N+Sg+Acc+PxSg1
alkeme	elkie+v1+N+Sg+Nom+PxSg1

alkene	elkie+v1+N+Sg+Gen+PxSg1
alkene	alkene+Adv

baakoegeaseme	baakoe+N+Cmp/SgNom+Cmp#giesie+N+Sg+Acc+PxSg1
baakoegeaseme	baakoe+N+Cmp/SgNom+Cmp#giesie+N+Sg+Nom+PxSg1

baarneme	baernie+N+Sg+Acc+PxSg1
baarneme	baernie+N+Sg+Nom+PxSg1

baarnemem	baernie+N+Sg+Acc+PxSg1

baernebe	baernie+N+Sg+Nom+PxSg3
baernebe	baernie+N+Sg+Nom+PxSg3

baernebem	baernie+N+Sg+Acc+PxSg3

baernemse	baernie+N+Sg+Acc+PxSg3

bajhkene	bajhke+N+Sg+Gen+PxSg1

baktjedh	baktje+N+Sg+Gen+PxSg2
baktjedh	baktje+N+Sg+Nom+PxSg2

barkoesijjese	barkoesijjie+N+Sg+Nom+PxSg3
barkoesijjese	barkoe+N+Cmp/SgNom+Cmp#sijjie+N+Sg+Nom+PxSg3

bastesadtedh	baste+N+Cmp/SgNom+Cmp#sadta+N+Sg+Nom+PxSg2

bintedh	binte+N+Sg+Gen+PxSg2
bintedh	binte+N+Sg+Nom+PxSg2

boetjedh	boetje+N+Sg+Gen+PxSg2
boetjedh	boetje+N+Sg+Nom+PxSg2

boetjeme	boetje+N+Sg+Acc+PxSg1
boetjeme	boetje+N+Sg+Nom+PxSg1

bueriejåhteme	buerie+A+Cmp/PlGen+Cmp#åhta+N+Sg+Acc+PxSg1
bueriejåhteme	buerie+A+Cmp/PlGen+Cmp#åhta+N+Sg+Nom+PxSg1
bueriejåhteme	burrie+N+v2+Cmp/PlGen+Cmp#åhta+N+Sg+Acc+PxSg1
bueriejåhteme	burrie+N+v2+Cmp/PlGen+Cmp#åhta+N+Sg+Nom+PxSg1
bueriejåhteme	buerie+N+Cmp/PlGen+Cmp#åhta+N+Sg+Acc+PxSg1
bueriejåhteme	buerie+N+Cmp/PlGen+Cmp#åhta+N+Sg+Nom+PxSg1

daarpese	daarpoe+N+Sg+Nom+PxSg3

daelviesjeltese	daelvie+N+Cmp/SgNom+Cmp#sjeltie+N+Sg+Nom+PxSg3

duedtese	duedtie+N+Sg+Nom+PxSg3

dåaredh	dåaroe+N+Sg+Nom+PxSg2

dåareme	dåaroe+N+Sg+Acc+PxSg1

dåarjemem	dåarjoe+N+Sg+Acc+PxSg1

dïedtevaalteme	dïedte+N+Cmp/SgNom+Cmp#vaeltie+N+Sg+Acc+PxSg1
