 Faepmese	Faepmese	+? 
 Fuehpebe	Fuehpebe	+? 
 Geellebe	Geellebe	+? 
 Giervebe	Giervebe	+? 
 Gijrene	Gijrene	+? 
 Gohtjemem	gåhtjodh+V+TV+Der/PassS+V+IV+Der/NomAct+N+Sg+Acc Gohtjemem	guhtjedh+V+IV+Der/PassS+V+IV+Der/NomAct+N+Sg+Acc Gohtjemem	gahtjedh+V+IV+Der/PassS+V+IV+Der/NomAct+N+Sg+Acc 
 Gïervebe	Gïervebe	+? 
 IVbarkedh	IVbarkedh	+? 
 IVsaavredh	IVsaavredh	+? 
 Jijnjemse	Jijnjemse	+? 
 Johkemehkese	Johkemehkese	+? 
 Jollene	Jollene	+? 
 Jupmielamme	Jupmielamme	+? 
 Jåarhkedh	Jåarhkedh	+? 
 Kråavvedh	Kråavvedh	+? 
 Lustene	Lustene	+? 
 Maaneme	Maaneme	+? 
 Munnieluajhteme	Munnieluajhteme	+? 
 Njaarkebe	Njaarkebe	+? 
 Nordlaantene	Nordlaantene	+? 
 Pryövenassevaalteme	Pryövenassevaalteme	+? 
 Raajnedh	Raajnedh	+? 
 Samene	Samene	+? 
 Sijtebe	Sijtebe	+? 
 Snåasene	Snåasene	+? 
 Soeveme	Soeveme	+? 
 Sovhtene	Sovhtene	+? 
 Stuehkese	Stuehkese	+? 
 Tjietsebe	Tjietsebe	+? 
 Toelhkeme	Toelhkeme	+? 
 Voelpebe	Voelpebe	+? 
 Voelpeme	Voelpeme	+? 
 Vïrreme	Vïrreme	+? 
 aadtjedh	aadtjedh	+? 
 aadtjene	aadtjene	+? 
 aajhtese	aajhtese	+? 
 aajledh	aajledh	+? 
 aalkedh	aalkedh	+? 
 aavoedalledh	aavoedalledh	+? 
 baakoegeaseme	baakoegeaseme	+? 
 bajhkene	bajhkene	+? 
 baktjedh	baktjedh	+? 
 barkese	barkese	+? 
 bastesadtedh	bastesadtedh	+? 
 bielese	bielese	+? 
 bierjebe	bierjebe	+? 
 bintedh	bintedh	+? 
 bispene	bispene	+? 
 boelteme	boelteme	+? 
 boelvese	boelve+N+Sg+Ill 
 boetjedh	boetjedh	+? 
 boetjeme	boetjeme	+? 
 buajteme	buajteme	+? 
 bueriejåhteme	bueriejåhteme	+? 
 bueriesoejkesjamme	bueriesoejkesjamme	+? 
 bæjhpeme	bæjhpeme	+? 
 bïhkedimmese	bïhkedimmese	+? 
 daajredh	daajredh	+? 
 daarpese	daarpese	+? 
 daelviesjeltese	daelviesjeltese	+? 
 digkiedimmese	digkiedimmese	+? 
 dipmemem	dïpmedh+V+IV+Der/NomAct+N+Sg+Acc 
 dotkijamme	dotkijamme	+? 
 duedtese	duedtese	+? 
 dåaredh	dåaredh	+? 
 dåareme	dåareme	+? 
 dåarjemem	dåarjemem	+? 
 dïedtevaalteme	dïedtevaalteme	+? 
 dïenestamme	dïenestamme	+? 
 ealedh	ealedh	+? 
 eatnemegoerpeme	eatnemegoerpeme	+? 
 ektiebarkedh	ektiebarkedh	+? 
 faalenassse	faalenassse	+? 
 faksedh	faksedh	+? 
 fealadimmese	fealadimmese	+? 
 filmedh	filmedh	+? 
 frijjevaalteme	frijjevaalteme	+? 
 fylhkendigkese	fylhkendigkese	+? 
 gaahkene	gaahkene	+? 
 gaajvedh	gaajvedh	+? 
 gaalleben	gaalleben	+? 
 gaaloejöönedh	gaaloejöönedh	+? 
 gaalveme	gaalveme	+? 
 gaartjene	gaartjene	+? 
 gavledh	gavledh	+? 
 geellebe	geellebe	+? 
 geellebem	geellebem	+? 
 geelleben	geelleben	+? 
 geellebistie	geellebistie	+? 
 geellese	geelle+N+Sg+Ill 
 giele-vaarjelimmese	giele-vaarjelimmese	+? 
 gielene	gielene	+? 
 gielevaarjelimmese	gielevaarjelimmese	+? 
 giervebe	giervebe	+? 
 girtese	girtese	+? 
 goerpemem	goerpemem	+? 
 goerpene	goerpene	+? 
 gohtjemem	gåhtjodh+V+TV+Der/PassS+V+IV+Der/NomAct+N+Sg+Acc gohtjemem	guhtjedh+V+IV+Der/PassS+V+IV+Der/NomAct+N+Sg+Acc gohtjemem	gahtjedh+V+IV+Der/PassS+V+IV+Der/NomAct+N+Sg+Acc 
 goltelimmese	goltelimmese	+? 
 guektiengïeledh	guektiengïeledh	+? 
 guhkiesvaestiedassebielese	guhkiesvaestiedassebielese	+? 
 guhkievaestiedassebielese	guhkievaestiedassebielese	+? 
 guvvese	guvvese	+? 
 gåassomefaaledh	gåassomefaaledh	+? 
 gåateme	gåateme	+? 
 gåvlebe	gåvlebe	+? 
 gïelene	gïelene	+? 
 gïervebe	gïervebe	+? 
 gïevlese	gïevlese	+? 
 hapsedh	hapsedh	+? 
 hujnese	hujnese	+? 
 isvelihkebe	isvelihkebe	+? 
 jaamemem	jaamemem	+? 
 jabjahdalledh	jabjahdalledh	+? 
 jijmemse	jijmemse	+? 
 jollene	jollene	+? 
 juhtiejamme	juhtiejamme	+? 
 jåarhkedh	jåarhkedh	+? 
 jællene	jællene	+? 
 krinkedh	krinkedh	+? 
 kroessedh	kroessedh	+? 
 kultuvreövtiedimmese	kultuvreövtiedimmese	+? 
 laajjene	laajjene	+? 
 laavleme	laavleme	+? 
 lahtesamme	lahtesamme	+? 
 låtneme	låtneme	+? 
 læstome	læstome	+? 
 maaksedh	maaksedh	+? 
 maaksemem	maaksemem	+? 
 maaneme	maaneme	+? 
 minngese	minngese	+? 
 mirhkedh	mirhkedh	+? 
 munnieluajhteme	munnieluajhteme	+? 
 munnieluajhtemem	munnieluajhtemem	+? 
 musihkene	musihkene	+? 
 naaremem	naaremem	+? 
 nielkese	nielke+N+Sg+Ill 
 noereskuvlene	noereskuvlene	+? 
 nåekebinie	nåekebinie	+? 
 nöörjenfaagene	nöörjenfaagene	+? 
 orrene	orrene	+? 
 orrijimmese	orrijimmese	+? 
 pleajhkeme	pleajhkeme	+? 
 politihkene	politihkene	+? 
 pruvvese	pruvvese	+? 
 pumpedh	pumpedh	+? 
 rommene	rommene	+? 
 ryöknegamme	ryöknegamme	+? 
 rïektedalledh	rïektedalledh	+? 
 rïjhkebe	rïjhkebe	+? 
 saarneme	saarneme	+? 
 sadtemem	sadtemem	+? 
 saejrebe	saejrebe	+? 
 siebrese	siebrese	+? 
 skaehtese	skaehtese	+? 
 skruvvedh	skruvvedh	+? 
 skuvleaalkeme	skuvleaalkeme	+? 
 skuvlemedisijnene	skuvlemedisijnene	+? 
 soelkenehtedh	soelkenehtedh	+? 
 soeveme	soeveme	+? 
 soevene	soevene	+? 
 sovhtene	sovhtene	+? 
 spealeme	spealeme	+? 
 spæjhkaramme	spæjhkaramme	+? 
 staellese	staellese	+? 
 stoerrebe	stoerrebe	+? 
 stuarene	stuarene	+? 
 stuehkese	stuehkese	+? 
 stuerese	stuerese	+? 
 sæjjasadth	sæjjasadth	+? 
 tjahkeme	tjahkeme	+? 
 tjengkere-tjiektjeme	tjengkere+N+Cmp/SgNom+Cmp/Hyph+Cmp#tjïektjedh+V+TV+Der/NomAct+N+Sg+Nom 
 tjiektjemem	tjïektjedh+V+TV+Der/NomAct+N+Sg+Acc 
 tjietsebe	tjietsebe	+? 
 tjietsebem	tjietsebem	+? 
 tjihtjedh	tjihtjedh	+? 
 tjoehpene	tjoehpene	+? 
 tjoejhkedh	tjoejhkedh	+? 
 tjuglebe	tjuglebe	+? 
 tjïeltesoejkesjimmese	tjïeltesoejkesjimmese	+? 
 toelhkedh	toelhkedh	+? 
 toelhkeme	toelhkeme	+? 
 tryjjeme	tryjjeme	+? 
 tsegkietnese	tsegkietnese	+? 
 tsïnneboetjemem	tsïnneboetjemem	+? 
 tïjjene	tïjjene	+? 
 unnese	unnese	+? 
 verbene	verbene	+? 
 verbformene	verbformene	+? 
 vierhtebe	vierhtebe	+? 
 viesjese	viesjese	+? 
 vijrebasse	vijrebasse	+? 
 vijrene	vijrene	+? 
 voelpebe	voelpebe	+? 
 voelpeme	voelpeme	+? 
 voengebuerebe	voengebuerebe	+? 
 voengemaakseme	voengemaakseme	+? 
 vualkemem	vualkemem	+? 
 vïeveme	vïeveme	+? 
 vïrremem	vïrremem	+? 
 Åvtesbarkedh	Åvtesbarkedh	+? 
 åadtjeme	åadtjeme	+? 
 åaredh	åaredh	+? 
 åavtese	åavtese	+? 
 åenehksvaestiedassebielese	åenehksvaestiedassebielese	+? 
 åenehksvualkeme	åenehksvualkeme	+? 
 åvtesbarkedh	åvtesbarkedh	+? 
 ööhpehtimmese	ööhpehtimmese	+? 
 øøhpehtimmese	øøhpehtimmese	+? 
 
