id	date	tag/branch	top1	top5	worse	no suggs	wrong suggs
divvun-4.0.1	2020-11-18T05:11:19.049932001+01:00	v4.0.1	519	619	633	43	642
divvuun-4.1	2020-11-18T05:11:50.322525198+01:00	v4.1	548	700	715	42	561
d5e0891f3	2020-11-18T04:48:19.661556110+01:00	develop	782	1101	1147	21	150
a369fa4cb	2020-12-04T03:47:44.713649943+01:00	develop	782	1101	1147	21	150
