 
 
Aarmoejaepie
Almetjebaernie
Almetjekrirrie
Åejviehearra
Baahasnïerie
Dåaroenïere
Dïjreguedtije
Kraesiedeava
Maadtoeboelve
Hïejmedajve
Vijnemoere
Bueriesaernie
Bueriesjugnehtidh
Bueriesjugniehtasse
Elmierijhke
Båetiebiejjie
Bissiebiejjie
Bijjieraedtie

aerkieslaakan
ipmijeslaakan
ïskereslaakan


gæmhpome-aamhtese	kampsak	kamp
privaate	privat	privat
kontovrebarkije	kontordame	kontorist
nyjsenes aamhtese	kvinnesak	kvinnosak
eksaamene	eksamen	avgångsprov
noereskuvle-eksaamene	middelskoleeksamen/ungdomsskoleeksamen/vitnemål fra grunnskolen	högstadieeksamen
nïejteskuvle	pikeskole	flickskola
telegraafe-stasjovne	telegrafstasjon	telegrafstation
tjïelteveeljeme	kommunevalg	kommunvalg
åejvie-aamhtese	hovedtema	huvudtema
ååkteldïhkie	respektabelt	respekterat
1.15 Nasjonalismend tid
åarjelsaemiengïelese	daaroengïelese	svïenskegïelese
!!  åålmeh-sealoe	folkesjel	folksjäl
!!  åålmeh-laavloe /åålmeh-laavlome	folkevise	folkvisa
!!  åålmeh-kultuvre	folkekultur	folkkultur
!!  åålmeh-heamture	folkeeventyr	folkvisa
!!  åålmeh-musihke	folkemusikk	folkmusik
vietseles	populær	populär
Venetsije	Venezia	Venedig
universiteeten-lohkehtæjja	univerisitetslærer	universitetslärare
tyske-gïelen almetjh	tysktalende	tysktalande
tjekkere	tsjekker	tjeck
serbere	serber	serb
Sardinije	Sardinia	Sardinien
rïpmedh	rømme / slippe unna	slippe undan
ruevtieraajroe-viermie	jernbanenett	järnvägsnät
romantihke	romantikk	romantik
ritneldihkie	er okkupert	vara ockuperat
Preussene	Preussen	Preussen
preusiske	prøyssisk	preusisk
presideente / åvtehke	formann	förman
positijve	positivt	positiv
politihkere	politiker	politiker
ovietseles	upopulær	impopulär
offiserebarkoe	offiserstilling	officersställning
nasjonalisme	nasjonalisme	nationalism
nasjonaalestaate	nasjonalstat	nasjonalstat
nasjonaalelaavloe	nasjonalsang	nationalsång
nasjonaaledomteme	nasjonalfølelse	nationalkänsla
nasjonaale-romantihke	nasjonalromantikk	nationalromantik
mieriedidh	foreskrive	förskriva
medjare / ungarere	ungarer	ungare
Lombardije	Lombardia	Lombardiet
laantekrïense / laanteraaste / staateraaste	landegrense	landsgräns
laantegæmhpome	landskamp	landskamp
kompositööre	komponist	kompositör
kanslere	kansler	kansler
jïjtjevyljehke	frivillig	frivillig
jienebelåhkoe mieriedimmie	flertallsvedtak	flertalsbeslut
jeatjahtovvedh	forandres	ändrats
hïejmestaare	hjemby	hemstad
hertugdömme	hertugdømme	hertigdöme
geerehtalledh	bli tatt til fange	bli tillfångatagen
gaavnesjidh	møtes / treffes	mötas
Frankfurt-parlamente	Frankfurtparlamentet	Frankfurtparlamentet
eadtjaldehtedh	inspirasjon	inspiration
dobtoe / domteme / domtese / domtoe	følelse	känsla
deahpanidh	skje	hända
deahpadimmie / deahpanimmie	hendelse	händelse
byjjes	offisiell	officiell
ammes-reereme	fremmedstyre	främmandestyre
1.17 Historie 7 Renessanse
åarjelsaemiengïelese	daaroengïelese	svïenskegïelese
Englaanten parlameente	Engelsk parlamentet	Engelska parlamentet
aantegesluejhteme-prievie	avlatsbrev	avlatsbrev
biejjiesysteeme	solsystem	solsystem
bigkemeteknihke	byggeteknikk	byggnadsteknik
dotkedh	forske	forska
dåarjoje	tilhenger	anhängare
dïedtedh / dïedtesovvedh / preentedh	trykke	trycka
aktegs-reereme	enevelde	envälde
filosofije	filosofi	filosofi
fyrste	fyrste	furste
perspektijve	perspektiv	perspektiv
hugenodte	hugenott	hugenott
illustrasjovne	illustrasjon	illustration
inkvisisjovne	inkvisisjon	inkvisition
jarnge-perspektijve	sentralperspektiv	centralperspektiv
jarngeperspektijve	sentralperspektiv	centralperspektiv
Jupitere	Jupiter	Jupiter
katolihke	katolikk	katolik
katolihki gærkoe	katolske kirke	katolska kyrkan
konserte	konsert	konsert
vïhtesjimmie	observasjon	observation
orrijidh	bli avskaffet / bryte / bryte ut av	bli avskaffad / bryta / bryta sig ut ur
pilgrijmefeeleme	pilgrimsreise	pilgrimsresa
planeete	planet	planet
reformasjovne	reformasjon	reformation
renessanse	renessanse	renässans
rïekteslaaketje	rettferdig	rättvis
universe	universet	universum


HVordan gjør vi denne type ord? ord som er "rett-oversatt" eller lånetilpasset , som man seinere finner bere ord som har rot i samisk språk.
Mekre disse på noen vis?

universe = tilpasset
!  veartenen-elmie	verdensrommet (2017)	världsrymd - 2024 ----> almadahke



lutnjese	heis	hiss
vuartasjidh	observere	observera
rïektelaaketje	rettferdig	rättvis
nommine jååhkesjidh	signatur / underskrift	underskrift
gïrreme	protest	protest
1.18 Samfunnsfag historie geografie
åarjelsaemiengïelese	daaroengïelese	svïenskegïelese
iemie-laaketje	naturlig	naturlig
misjovesiebrie	misjonsselskap	misstionsällskap
rantandahkoe	voldshandling	våldshandling
litteratuvre-histovrijegærja	litteraturhistorieverk	litteraturhistorieverk
Kongressekrirrie	Kongresspartiet	Kongresspartiet
byjjesfaamoe	myndighet	myndighet


s mijjide dam jiehtedh.
